HG-ID,商品名,EC-CUBEID,カテゴリID,カテゴリ名,ゲスト公開,A(定無)公開,A(定有)公開,B(定無)公開,B(定有)公開,販売開始日,販売停止日,登録日
103,HG 有機アロエベラジュース(6本),360,1,基本商品,1,1,1,1,1,,2022/09/301659,2016/3/7 16:51
105,HG 有機アロエベラジュース(3本),362,1,基本商品,1,1,1,1,1,,2022/09/301659,2016/3/7 16:55
109,アロエボディクリーム,365,8,アロエシリーズ,1,1,1,1,1,,2022/09/301659,2016/3/7 17:00
111,AL ザ クレンジングクリーム,400,7,アルティエシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/8 22:05
112,AL ザ ウォッシング,403,7,アルティエシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 14:55
113,AL ザ ローション,404,7,アルティエシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 14:57
114,AL ザ クリーム,405,7,アルティエシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 14:59
115,AL ザ UVカットエッセンス,406,7,アルティエシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 15:00
116,アロエプレミアムシャンプー,407,15,アロエバスケアシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 15:05
117,アロエプレミアムトリートメント,408,15,アロエバスケアシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 15:07
118,アロエボディソープ,409,15,アロエバスケアシリーズ,1,1,1,1,1,2016/09/260000,2022/09/301659,2016/9/16 15:09
119,薬用　賜毛水(育毛剤),452,8,アロエシリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 7:57
123,アロエ洗濯用洗剤(つめかえ用)※専用ボトル付,453,14,アロエ洗剤シリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 10:06
124,アロエ洗濯用洗剤(つめかえ用),454,14,アロエ洗剤シリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 10:09
125,アロエ洗濯用洗剤　専用空ボトル(1L),455,14,アロエ洗剤シリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 10:12
126,アロエ食器用洗剤(つめかえ用)※専用ボトル付,456,14,アロエ洗剤シリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 10:25
127,アロエ食器用洗剤(つめかえ用),457,14,アロエ洗剤シリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 10:28
128,アロエ食器用洗剤　専用空ボトル(300mL),458,14,アロエ洗剤シリーズ,1,1,1,1,1,2018/03/301700,2022/09/301659,2018/3/5 10:41
131,登録キット,353,5,販促品,2,2,2,1,1,2019/09/241000,2022/09/201659,2016/2/29 8:50
148,再開手数料,372,5,販促品,2,2,2,2,2,,2022/09/301659,2016/3/22 19:30
152,アロエベラ生活　①,442,5,販促品,2,2,2,2,2,2017/09/250000,,2017/9/25 9:03
153,アロエベラ生活　②,443,5,販促品,2,2,2,2,2,2017/10/010000,,2017/9/25 18:34
154,アロエベラ生活　③,444,5,販促品,2,2,2,2,2,2017/10/010000,,2017/9/25 18:35
155,アロエベラ生活　⑥,445,5,販促品,2,2,2,2,2,2017/10/010000,,2017/9/25 18:38
201,薬用 ハンドトリートメント,515,8,アロエシリーズ,1,1,1,1,1,2019/10/011000,2022/09/301659,2019/8/22 14:46
217,ROKAI 薬用ハーバルローション,504,2,ROKAIハーバルケアシリーズ,1,1,1,1,1,2019/10/011000,2022/09/301659,2019/8/21 19:27
218,ROKAI 薬用ハーバルミルク,505,2,ROKAIハーバルケアシリーズ,1,1,1,1,1,2019/10/011000,2022/09/301659,2019/8/21 19:28
220,HG プレミアパウダー,501,1,基本商品,1,1,1,1,1,2019/10/011000,2022/09/301659,2019/8/21 19:22
230,会社案内(会社・商品説明)10冊入,513,5,販促品,2,2,2,1,1,2019/10/011000,2022/09/201659,2019/8/21 19:49
231,ビジネスガイド 10冊入,514,5,販促品,2,2,2,1,1,2019/10/011000,2022/09/201659,2019/8/21 19:50
243,薬用ナチュラルホワイトクリア(歯磨き剤),530,8,アロエシリーズ,1,1,1,1,1,2021/03/011000,2022/09/301659,2021/1/19 15:43
247,ROKAI 薬用ハーバルソープ,533,2,ROKAIハーバルケアシリーズ,1,1,1,1,1,2021/09/011000,2022/09/301659,2021/6/24 11:56
258,アロエベラキャンディ,545,8,アロエシリーズ,1,1,1,1,1,2021/12/271700,2022/09/301659,2021/11/25 11:10
